Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/22/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/22/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/22/20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/23/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/23/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/23/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/23/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/23/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/23/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/23/20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/23/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/24/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/24/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/24/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/24/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/24/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/24/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/24/20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/24/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/25/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/25/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/25/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/25/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/25/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/25/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/25/20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/25/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/26/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/26/20,3,0,0
Northern Territory,Australia,-12.4634,130.8456,1/26/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/26/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/26/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/26/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/26/20,1,0,0
Western Australia,Australia,-31.9505,115.8605,1/26/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/27/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/27/20,4,0,0
Northern Territory,Australia,-12.4634,130.8456,1/27/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/27/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/27/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/27/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/27/20,1,0,0
Western Australia,Australia,-31.9505,115.8605,1/27/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/28/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/28/20,4,0,0
Northern Territory,Australia,-12.4634,130.8456,1/28/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/28/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/28/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/28/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/28/20,1,0,0
Western Australia,Australia,-31.9505,115.8605,1/28/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/29/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/29/20,4,0,0
Northern Territory,Australia,-12.4634,130.8456,1/29/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/29/20,1,0,0
South Australia,Australia,-34.9285,138.6007,1/29/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/29/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/29/20,1,0,0
Western Australia,Australia,-31.9505,115.8605,1/29/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/30/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/30/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,1/30/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/30/20,3,0,0
South Australia,Australia,-34.9285,138.6007,1/30/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/30/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/30/20,2,0,0
Western Australia,Australia,-31.9505,115.8605,1/30/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/31/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/31/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,1/31/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/31/20,2,0,0
South Australia,Australia,-34.9285,138.6007,1/31/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/31/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/31/20,3,0,0
Western Australia,Australia,-31.9505,115.8605,1/31/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/1/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/1/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/1/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/1/20,3,0,0
South Australia,Australia,-34.9285,138.6007,2/1/20,1,0,0
Tasmania,Australia,-41.4545,145.9707,2/1/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/1/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/1/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/2/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/2/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/2/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/2/20,2,0,0
South Australia,Australia,-34.9285,138.6007,2/2/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/2/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/2/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/2/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/3/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/3/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/3/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/3/20,2,0,0
South Australia,Australia,-34.9285,138.6007,2/3/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/3/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/3/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/3/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/4/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/4/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/4/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/4/20,3,0,0
South Australia,Australia,-34.9285,138.6007,2/4/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/4/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/4/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/4/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/5/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/5/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/5/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/5/20,3,0,0
South Australia,Australia,-34.9285,138.6007,2/5/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/5/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/5/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/5/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/6/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/6/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/6/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/6/20,4,0,0
South Australia,Australia,-34.9285,138.6007,2/6/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/6/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/6/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/6/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/7/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/7/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/7/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/7/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/7/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/7/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/7/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/7/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/8/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/8/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/8/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/8/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/8/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/8/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/8/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/8/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/9/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/9/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/9/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/9/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/9/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/9/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/9/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/9/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/10/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/10/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/10/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/10/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/10/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/10/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/10/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/10/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/11/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/11/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/11/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/11/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/11/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/11/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/11/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/11/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/12/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/12/20,4,0,2
Northern Territory,Australia,-12.4634,130.8456,2/12/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/12/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/12/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/12/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/12/20,4,0,0
Western Australia,Australia,-31.9505,115.8605,2/12/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/13/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/13/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/13/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/13/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/13/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/13/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/13/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/13/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/14/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/14/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/14/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/14/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/14/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/14/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/14/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/14/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/15/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/15/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/15/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/15/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/15/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/15/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/15/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/15/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/16/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/16/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/16/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/16/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/16/20,2,0,0
Tasmania,Australia,-41.4545,145.9707,2/16/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/16/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/16/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/17/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/17/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/17/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/17/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/17/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/17/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/17/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/17/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/18/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/18/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/18/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/18/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/18/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/18/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/18/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/18/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/19/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/19/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/19/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/19/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/19/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/19/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/19/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/19/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/20/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/20/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/20/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/20/20,5,0,0
South Australia,Australia,-34.9285,138.6007,2/20/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/20/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/20/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/20/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/21/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/21/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/21/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/21/20,5,0,1
South Australia,Australia,-34.9285,138.6007,2/21/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/21/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/21/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/21/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/22/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/22/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/22/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/22/20,5,0,1
South Australia,Australia,-34.9285,138.6007,2/22/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/22/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/22/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/22/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/23/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/23/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/23/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/23/20,5,0,1
South Australia,Australia,-34.9285,138.6007,2/23/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/23/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/23/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/23/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/24/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,2/24/20,4,0,4
Northern Territory,Australia,-12.4634,130.8456,2/24/20,0,0,0
Queensland,Australia,-28.0167,153.4,2/24/20,5,0,1
South Australia,Australia,-34.9285,138.6007,2/24/20,2,0,2
Tasmania,Australia,-41.4545,145.9707,2/24/20,0,0,0
Victoria,Australia,-37.8136,144.9631,2/24/20,4,0,4
Western Australia,Australia,-31.9505,115.8605,2/24/20,0,0,0
